-96.723,1.226,-2.603,3746478.35,-4237648.085,-2937486.131,-1.253,-1.155,0.055,-1.279,0.204,-9.802,-0.01905,-0.019343,1690507233,,,
-96.442,1.26,-2.647,3746478.319,-4237648.113,-2937486.13,-1.261,-1.108,0.074,4.493,0.119,-4.682,-0.056516,0.228597,1690507233,,,
-96.326,1.308,-2.723,3746478.288,-4237648.142,-2937486.128,-1.291,-1.104,0.133,-1.162,1.175,1.516,-0.013449,0.518103,1690507233,,,
-96.285,1.304,-2.783,3746478.257,-4237648.172,-2937486.124,-1.282,-1.209,0.223,1.172,4.291,4.826,-0.006044,0.23201,1690507233,,,
-96.236,1.297,-2.726,3746478.225,-4237648.204,-2937486.118,-1.264,-1.33,0.246,2.047,1.711,-0.575,0.067259,-0.331293,1690507233,,,
-96.105,1.353,-2.673,3746478.193,-4237648.238,-2937486.112,-1.275,-1.384,0.195,1.635,-2.38,-10.534,-0.018675,-0.595155,1690507233,,,
-95.85,1.467,-2.63,3746478.16,-4237648.271,-2937486.107,-1.323,-1.377,0.137,2.112,-2.087,-19.128,0.038265,-0.409336,1690507233,,,
-95.554,1.55,-2.639,3746478.125,-4237648.305,-2937486.103,-1.386,-1.355,0.127,1.866,-0.831,-19.513,-0.038141,0.041648,1690507233,,,
-95.206,1.539,-2.622,3746478.289,-4237648.474,-2937486.232,-1.366,-1.348,0.131,1.06,-0.852,-13.271,0.035249,0.376474,1690507233,,,
-94.813,1.428,-2.606,3746478.255,-4237648.509,-2937486.229,-1.384,-1.319,0.095,-0.371,-0.892,-5.262,-0.010179,0.373229,1690507233,,,
-94.451,1.331,-2.684,3746478.222,-4237648.542,-2937486.228,-1.374,-1.325,0.089,-0.222,2.894,-1.195,-0.079183,0.140129,1690507233,,,
-94.194,1.34,-2.724,3746478.188,-4237648.576,-2937486.225,-1.333,-1.362,0.153,0.211,4.945,-3.537,-0.001272,-0.110916,1690507233,,,
-94.048,1.449,-2.719,3746478.155,-4237648.61,-2937486.22,-1.316,-1.416,0.225,1.572,2.869,-9.052,-0.015905,-0.217347,1690507233,,,
-93.931,1.576,-2.689,3746478.121,-4237648.646,-2937486.213,-1.337,-1.463,0.254,2.921,0.823,-13.855,0.02475,-0.156886,1690507233,,,
-93.748,1.623,-2.655,3746478.087,-4237648.683,-2937486.206,-1.371,-1.51,0.266,2.373,0.292,-15.007,0.00947,-0.045937,1690507233,,,
-93.507,1.583,-2.603,3746478.052,-4237648.721,-2937486.2,-1.412,-1.537,0.248,1.756,-0.981,-12.555,0.042843,0.044383,1690507233,,,
