,date_hour,date,hour,timestamp,position_x,position_y,position_z,latitude,longitude,altitude,speed,acceleration
0,2023-07-27 22:20:33.000000,27/07/2023,22:20:33:000000,1690507233000000.0,3746478.35,-4237648.085,-2937486.131,-27.60190638840889,-48.52030148826899,8.494391215028408,1.7050099706453332,9.887196822153385
1,2023-07-27 22:20:33.040000,27/07/2023,22:20:33:040000,1690507233040000.0,3746478.319,-4237648.113,-2937486.13,-27.601906378553906,-48.52030191138857,8.494321658293943,1.6802562304601045,6.490172108657829
2,2023-07-27 22:20:33.080000,27/07/2023,22:20:33:080000,1690507233080000.0,3746478.288,-4237648.142,-2937486.128,-27.601906357569323,-48.52030234121751,8.4944526991709,1.7038738216194296,2.242571069107956
3,2023-07-27 22:20:33.120000,27/07/2023,22:20:33:120000,1690507233120000.0,3746478.257,-4237648.172,-2937486.124,-27.601906317457995,-48.520302777755795,8.494321013272954,1.776213388081511,6.563272126005442
4,2023-07-27 22:20:33.160000,27/07/2023,22:20:33:160000,1690507233160000.0,3746478.225,-4237648.204,-2937486.118,-27.601906257856854,-48.52030323530174,8.494003553279338,1.851246066842547,2.729167455470624
5,2023-07-27 22:20:33.200000,27/07/2023,22:20:33:200000,1690507233200000.0,3746478.193,-4237648.238,-2937486.112,-27.60190619199078,-48.5203037062664,8.495013941229777,1.8918525312507843,10.92258124254519
6,2023-07-27 22:20:33.240000,27/07/2023,22:20:33:240000,1690507233240000.0,3746478.16,-4237648.271,-2937486.107,-27.601906140023694,-48.52030417811065,8.495236760777699,1.91447825790736,19.357078731048237
7,2023-07-27 22:20:33.280000,27/07/2023,22:20:33:280000,1690507233280000.0,3746478.125,-4237648.305,-2937486.103,-27.601906098460066,-48.52030467184218,8.495412888466488,1.9424597807934145,19.619625021900905
8,2023-07-27 22:20:33.320000,27/07/2023,22:20:33:320000,1690507233320000.0,3746478.289,-4237648.474,-2937486.232,-27.601906146521856,-48.52030456113319,8.763648204425195,1.923595851523911,13.340500178029309
9,2023-07-27 22:20:33.360000,27/07/2023,22:20:33:360000,1690507233360000.0,3746478.255,-4237648.509,-2937486.229,-27.601906107053505,-48.52030505398508,8.765538552628136,1.9142209903770253,5.349948504425066
10,2023-07-27 22:20:33.400000,27/07/2023,22:20:33:400000,1690507233400000.0,3746478.222,-4237648.542,-2937486.228,-27.60190608707496,-48.52030552582933,8.767614675574004,1.910869435623481,3.1388763913222197
11,2023-07-27 22:20:33.440000,27/07/2023,22:20:33:440000,1690507233440000.0,3746478.188,-4237648.576,-2937486.225,-27.601906050739064,-48.520306011971876,8.768841099912796,1.9118948715868245,6.083413104499809
12,2023-07-27 22:20:33.480000,27/07/2023,22:20:33:480000,1690507233480000.0,3746478.155,-4237648.61,-2937486.22,-27.60190599563951,-48.520306490525456,8.769727844797451,1.946159551527058,9.625022025948823
13,2023-07-27 22:20:33.520000,27/07/2023,22:20:33:520000,1690507233520000.0,3746478.121,-4237648.646,-2937486.213,-27.60190592105014,-48.5203069900867,8.770428814939182,1.9981126094392176,14.183462024484713
14,2023-07-27 22:20:33.560000,27/07/2023,22:20:33:560000,1690507233560000.0,3746478.087,-4237648.683,-2937486.206,-27.601905843328293,-48.52030749635731,8.771793709808072,2.056817201406095,15.196264080358699
15,2023-07-27 22:20:33.600000,27/07/2023,22:20:33:600000,1690507233600000.0,3746478.052,-4237648.721,-2937486.2,-27.601905773240514,-48.52030801692621,8.773698885043826,2.1018127889990583,12.715106055397257
16,2023-07-27 22:20:33.640000,27/07/2023,22:20:33:640000,1690507233640000.0,3746477.994,-4237648.735,-2937486.158,-27.60190555413129,-48.52030855101678,8.729489841122476,2.1098587630455268,10.028536383740152
17,2023-07-27 22:20:33.680000,27/07/2023,22:20:33:680000,1690507233680000.0,3746477.959,-4237648.774,-2937486.152,-27.601905480911025,-48.520309078295035,8.732058941085391,2.0817302899271075,7.486027317609788
18,2023-07-27 22:20:33.720000,27/07/2023,22:20:33:720000,1690507233720000.0,3746477.923,-4237648.811,-2937486.147,-27.601905424722247,-48.52030959974355,8.733176545836468,2.0409784418263706,7.4308363593878175
19,2023-07-27 22:20:33.760000,27/07/2023,22:20:33:760000,1690507233760000.0,3746477.888,-4237648.847,-2937486.142,-27.60190536889653,-48.52031010689376,8.734217200206226,2.02904928476368,16.06910706915602
20,2023-07-27 22:20:33.800000,27/07/2023,22:20:33:800000,1690507233800000.0,3746477.854,-4237648.884,-2937486.134,-27.60190528317754,-48.520310613164355,8.735118772555202,2.081565997032042,20.056243267371883
21,2023-07-27 22:20:33.840000,27/07/2023,22:20:33:840000,1690507233840000.0,3746477.819,-4237648.923,-2937486.124,-27.601905177968735,-48.520311140442615,8.735834570986578,2.148330049131185,18.49210720821183
22,2023-07-27 22:20:33.880000,27/07/2023,22:20:33:880000,1690507233880000.0,3746477.784,-4237648.963,-2937486.113,-27.601905061630323,-48.52031167443021,8.736750968501958,2.19210606495215,12.316056674114487
23,2023-07-27 22:20:33.920000,27/07/2023,22:20:33:920000,1690507233920000.0,3746477.748,-4237649.004,-2937486.104,-27.601904960923108,-48.52031222271612,8.738670968904119,2.226286145130495,8.497149757418661
24,2023-07-27 22:20:33.960000,27/07/2023,22:20:33:960000,1690507233960000.0,3746477.632,-4237648.933,-2937485.968,-27.601904416968193,-48.52031262667166,8.560431507110197,2.276624914209629,6.687821618434511
25,2023-07-27 22:20:34.000000,27/07/2023,22:20:34:000000,1690507234000000.0,3746477.595,-4237648.975,-2937485.956,-27.601904291906486,-48.520313189255894,8.561038485166216,2.295315664565552,7.857411469434447
